epoch,loss,accuracy,recall,precision,f1
1,1.5708995504379273,41.7775,0.41777499999999995,0.41065374154399137,0.41299164376700725
2,1.2389204779624938,55.5625,0.555625,0.5504370591491665,0.5525428893094074
3,1.051399448108673,62.525,0.6252500000000001,0.6218903841487021,0.6233333065514998
4,0.9421706799507141,66.67,0.6667,0.6644694854155806,0.6654417863121165
5,0.8609489011287689,69.4175,0.694175,0.692637541212193,0.6933236088799803
6,0.792622410774231,71.96,0.7196,0.7182972262235102,0.7188773594263504
7,0.7450388706684112,73.7425,0.737425,0.7362304382227409,0.7367484694608162
8,0.6963068012237549,75.4475,0.754475,0.7533124628787442,0.7538204848911966
9,0.6505531960487366,77.08,0.7707999999999999,0.7700848221117759,0.7703835245934036
10,0.6209848197937011,78.1525,0.7815249999999999,0.7808619894601108,0.7811545255339831
11,0.5856227149486541,79.2725,0.792725,0.7921477327013525,0.792370212643042
12,0.5563889633178711,80.25,0.8025,0.8020469813504872,0.802236101538434
13,0.5266956367015838,81.3575,0.8135749999999999,0.8131280615605027,0.8132896338130735
14,0.5048335638999939,82.245,0.8224499999999999,0.8219477846773827,0.8221361299128895
15,0.4750206754207611,83.1225,0.8312250000000001,0.8309544729078475,0.8310440046697234
16,0.45386886441707613,83.9525,0.8395250000000001,0.8393105513543372,0.8393782937717968
17,0.42850194990634916,84.7925,0.847925,0.8475025950799904,0.8476680343896399
18,0.4073723349094391,85.635,0.85635,0.856128870901942,0.8561990739709027
19,0.3826769699573517,86.2875,0.8628749999999998,0.8626322417305371,0.8627182158731268
20,0.36964362556934355,86.9625,0.8696250000000001,0.8693644869780559,0.8694657090848041
