epoch,loss,accuracy,recall,precision,f1
1,1.533891594696045,42.9725,0.429725,0.4231703168978026,0.42558599700980776
2,1.1119026175498963,60.2,0.602,0.5981882561298532,0.5997290357615862
3,0.9127816871166229,67.4975,0.674975,0.6733375763436509,0.6740299501171224
4,0.7914728095054626,72.1475,0.7214750000000001,0.7206467269907199,0.7209702883949147
5,0.6980395735263825,75.575,0.75575,0.7554579741126609,0.7555191101924008
6,0.6281841523170472,77.9225,0.7792250000000001,0.7787089585005306,0.7788946257895173
7,0.5773656180858612,79.83,0.7983,0.7980795032929635,0.7981348372608968
8,0.5386469388008117,81.5175,0.815175,0.8148642233326602,0.8149601715565687
9,0.48331225144863127,83.115,0.83115,0.8310802596612765,0.8310704120072219
10,0.4566866612434387,84.1325,0.8413250000000001,0.8408940578654727,0.84106429796502
11,0.42624958570003507,85.2825,0.8528249999999999,0.8526586662188607,0.8526752595306778
12,0.3926210482120514,86.37,0.8637,0.8637022583233301,0.8636560345957331
13,0.36967519941329957,87.2675,0.8726749999999999,0.8724994767660437,0.8725608975246233
14,0.3486611338019371,88.0825,0.8808250000000001,0.880634453047391,0.8807161737151425
15,0.3272786413550377,88.7925,0.8879250000000001,0.8878248503053745,0.8878460358599345
16,0.3110714618206024,89.3325,0.8933249999999999,0.8932081588770382,0.893249008001441
17,0.28762629368305204,90.115,0.90115,0.901117782746609,0.9011049962966295
18,0.28022726234197615,90.2975,0.902975,0.9029519774031926,0.90295432392865
19,0.2596617424070835,91.0175,0.9101750000000001,0.9100747830592543,0.9101068803781629
20,0.2507930983781815,91.5575,0.9155749999999999,0.915529278453676,0.9155409721975157
