epoch,loss,accuracy,recall,precision,f1
1,1.4876717670440673,45.2875,0.45287499999999997,0.44838783107910557,0.45003039278445084
2,1.0707028303146362,61.685,0.61685,0.6138374486379069,0.6150115217532538
3,0.8709130261421204,69.3075,0.693075,0.6921536840742852,0.6924893963403169
4,0.7526222344398499,73.57,0.7357,0.7350245622788414,0.7352763906008819
5,0.6766883595466614,76.5225,0.7652249999999999,0.7647603853029115,0.7649118861691486
6,0.6102637351989746,78.685,0.78685,0.786388147017977,0.7865697896395861
7,0.5619759294748307,80.4475,0.804475,0.8041568777217254,0.8042684827537336
8,0.5156274946689605,82.12,0.8211999999999999,0.8208707975158411,0.8209781160137399
9,0.47282416508197783,83.5825,0.835825,0.8356594538578305,0.8357060481307024
10,0.4520487077474594,84.36,0.8436,0.8432603097635699,0.8433963879266078
11,0.41338033096790316,85.685,0.85685,0.8568556557213606,0.8568139232337726
12,0.39472632269859315,86.4175,0.864175,0.863978051250399,0.8640471156418886
13,0.36012366375923155,87.7375,0.877375,0.8771901940698237,0.8772496605140099
14,0.3457737668156624,88.0975,0.880975,0.8809178031230118,0.8809301278365964
15,0.3321478805184364,88.5425,0.885425,0.8853840697529574,0.8853630541133581
16,0.30972800872325895,89.3225,0.8932249999999999,0.8932589118195207,0.8932214135384113
17,0.28872633999586106,89.975,0.89975,0.8997571621448431,0.89973209707772
18,0.2779737463712692,90.335,0.90335,0.9032946261925012,0.9033134449931228
19,0.2674759339332581,90.8575,0.9085750000000001,0.9084225917885155,0.9084878032536026
20,0.24804137939810753,91.495,0.9149499999999999,0.9148625779857562,0.9148963797987687
