epoch,loss,accuracy,recall,precision,f1
1,1.687081672859192,36.995,0.494062049062049,0.512979797979798,0.47635619282678104
2,1.2843173495292663,53.0625,0.48924603174603176,0.5697785547785548,0.4654599958005531
3,0.9825473122596741,65.2175,0.6633333333333333,0.722936507936508,0.6422793872793873
4,0.8019467328548432,71.8675,0.7128968253968254,0.7582051282051282,0.7013542529022405
5,0.6958894139289856,75.83,0.8301587301587301,0.8225,0.8063493962178173
6,0.6177212149620056,78.6525,0.8948809523809522,0.8833333333333334,0.880911425176131
7,0.5594638510227203,80.725,0.7220634920634921,0.7582539682539683,0.7150505050505049
8,0.5075599608898163,82.665,0.8086904761904762,0.8377344877344877,0.7714035964035965
9,0.4735987854242325,83.76,0.8525324675324676,0.8851373626373625,0.8608143305969393
10,0.44132321856021883,84.61,0.8162193362193362,0.7875,0.7791050779286073
11,0.40557809784412385,85.8925,0.8095940170940171,0.786547619047619,0.7830266955266956
12,0.38149725157022474,87.0475,0.865,0.868088023088023,0.8393792482027775
13,0.3511402540564537,87.8125,0.8579761904761904,0.8588877788877788,0.8486495726495727
14,0.338246952188015,88.3325,0.8628571428571428,0.9007142857142856,0.8597236097236097
15,0.3191289411664009,89.1425,0.9646031746031746,0.9547619047619047,0.9577855580951555
16,0.31157395523786546,89.21,0.8744444444444444,0.8641666666666667,0.8600218572277397
17,0.28508105942606926,90.155,0.8550757575757576,0.8864285714285713,0.8492857142857144
18,0.26952042877674104,90.6825,0.9157142857142857,0.9402272727272727,0.9207606428659061
19,0.25857809373140334,90.945,0.9061904761904763,0.9101587301587302,0.8991355866355868
20,0.255316470092535,91.0375,0.8557395382395383,0.8434920634920635,0.8296007063112327
