epoch,loss,accuracy,recall,precision,f1
1,1.4816102007865906,45.5475,0.455475,0.4496767722024873,0.45168311402146477
2,0.9584443009376525,66.155,0.6615499999999999,0.658781868068903,0.6599620180357768
3,0.7318026296615601,74.6025,0.746025,0.7453269393560705,0.7456102625394136
4,0.6028144940376282,79.2975,0.792975,0.7923736941828867,0.7925854206970702
5,0.5122085477352142,82.45,0.8244999999999999,0.8242112626683389,0.8242892743598811
6,0.43907097449302673,84.8325,0.848325,0.8480708870267456,0.8481534719693761
7,0.3860972735285759,86.595,0.86595,0.8657049774269507,0.8658042192643853
8,0.3302763797879219,88.5,0.885,0.8849139692266501,0.8849387060096827
9,0.2834023860573769,90.21,0.9021000000000001,0.9019762327266383,0.9020003622120084
10,0.24918893033862113,91.295,0.9129499999999998,0.9128331302279987,0.9128832228176442
11,0.21387751673460006,92.4325,0.924325,0.9242818467339216,0.9242913756224758
12,0.1915011090993881,93.24,0.9324,0.9323731719965291,0.9323809156937998
13,0.16461563215851785,94.2075,0.942075,0.9420275317586947,0.9420458726630567
14,0.1572081755965948,94.41,0.9440999999999999,0.9440767149866265,0.9440836063361644
15,0.13872184899896384,95.0625,0.9506250000000002,0.950619661060504,0.9506156731041339
16,0.1283106818586588,95.5125,0.955125,0.9551216566750027,0.9551211530329009
17,0.11275462438911199,95.9,0.959,0.9589909032325821,0.9589925496808986
18,0.1064274969086051,96.23,0.9623000000000002,0.9622979345477226,0.9622965970317809
19,0.10288442507386207,96.3575,0.963575,0.9635668960183486,0.9635696178390386
20,0.09035431907363235,96.91,0.9691000000000001,0.9690913726606004,0.9690943932191924
