epoch,loss,accuracy,recall,precision,f1
1,1.5455472368240357,42.9125,0.429125,0.42249004771869175,0.42501046944968646
2,1.1594447748184205,58.3125,0.583125,0.5783285557151661,0.5802242205560131
3,0.9765022438049317,64.91,0.6491,0.6463929791004286,0.6474887740084816
4,0.8669023565769196,69.03,0.6903,0.688718398801589,0.6893644556015377
5,0.7756073172092438,72.625,0.72625,0.7253391858558598,0.7257125820133409
6,0.7071693385124207,74.8725,0.7487250000000001,0.7479672564079296,0.7482970359823918
7,0.6566592642784118,76.9725,0.769725,0.7690372427820724,0.769277104511165
8,0.6001859470844269,79.0425,0.790425,0.7897725908698421,0.790032719813582
9,0.5589977802991867,80.54,0.8053999999999999,0.8051056907726055,0.8051870820711375
10,0.5241259945392609,81.765,0.8176499999999999,0.8173891291724468,0.817466960654359
11,0.4910095925807953,82.7725,0.827725,0.827322343376953,0.8274774061723852
12,0.4676842101812363,83.62,0.8362,0.8359204080222995,0.8360291196459526
13,0.43632539410591126,84.76,0.8476000000000001,0.8473331453918036,0.8474224652838938
14,0.41190032813549043,85.55,0.8554999999999999,0.8553275649319287,0.8553817655772568
15,0.39142806682586667,86.55,0.8654999999999999,0.8654735231664523,0.8654327921461562
16,0.37226335332393645,86.86,0.8686,0.8685428106388902,0.8685586233259854
17,0.34822911343574525,87.9875,0.879875,0.8796429031126152,0.879728346872439
18,0.33314057536125186,88.33,0.8833,0.8831507353935713,0.8831906131485429
19,0.3144039319872856,88.95,0.8895,0.8893153947492032,0.8893896752936747
20,0.3035791875839233,89.535,0.89535,0.8952271659027679,0.8952693524340656
