epoch,loss,accuracy,recall,precision,f1
1,1.4344642734527588,47.315,0.47315000000000007,0.4666128190145926,0.46893989198987374
2,0.9719642206192016,65.56,0.6556000000000001,0.6530453396642127,0.6541387196160654
3,0.7578371840000152,73.465,0.73465,0.7334201372595143,0.7339161540892846
4,0.620660739994049,78.485,0.7848499999999999,0.7845061910032708,0.784624785414179
5,0.5192478040218353,81.96,0.8196000000000001,0.8192104813993378,0.8193542321273796
6,0.459032471704483,84.28,0.8427999999999999,0.8426589555354609,0.8426889096306652
7,0.39800162682533263,86.19,0.8619,0.8617278441627081,0.8617622981361409
8,0.3404395599722862,88.035,0.88035,0.880151765780378,0.8802216591041596
9,0.301490105843544,89.35,0.8935000000000001,0.8932621896401519,0.8933396459984113
10,0.25477265985012054,91.0875,0.9108750000000001,0.9108297304382486,0.9108439541029888
11,0.22993797857165338,91.89,0.9189,0.9187861434071805,0.9188294870838366
12,0.19773942535817624,92.9875,0.929875,0.9298650098692084,0.9298560673995233
13,0.1747491045743227,93.71,0.9371,0.9370542643169972,0.9370696443087075
14,0.1588256709367037,94.325,0.9432499999999999,0.9432181049805621,0.9432295526198867
15,0.13806627729833126,95.19,0.9519,0.9518847598143397,0.9518860358581908
16,0.1298287795469165,95.3975,0.953975,0.9539774152169258,0.953972724304702
17,0.11641107473820447,95.82,0.9582,0.9581933369356623,0.9581926660915909
18,0.11135201462060212,96.0625,0.960625,0.9606328733447969,0.9606254080867274
19,0.10426557915583252,96.26,0.9626000000000001,0.9625940055438802,0.9625942958892766
20,0.10318913213163615,96.245,0.9624499999999999,0.962451845890692,0.9624488940922257
