epoch,loss,accuracy,recall,precision,f1
1,1.509931422996521,44.1275,0.441275,0.4346539451488674,0.4370779781247899
2,1.0261424901008607,63.475,0.63475,0.632770722006466,0.6336347163575577
3,0.8049286280632019,71.915,0.71915,0.71832703119084,0.7186456903640659
4,0.6696304105758667,76.9525,0.769525,0.7690250463216534,0.7692138346652786
5,0.5749676226377487,80.0225,0.800225,0.7998216714650032,0.7999922707348486
6,0.5062140286684036,82.5875,0.8258749999999999,0.825729770554462,0.825758151052252
7,0.44858828656673433,84.5725,0.8457250000000001,0.8454928926571664,0.8455298408792811
8,0.39405762357711793,86.3475,0.8634749999999999,0.8633120097306575,0.8633529949915466
9,0.3562924864768982,87.57,0.8756999999999999,0.8754412603749884,0.875534070790627
10,0.31082620977163317,89.065,0.8906499999999999,0.8905919616273982,0.8906088115431933
11,0.273256153178215,90.2125,0.9021249999999998,0.9019760434209472,0.9020276867817237
12,0.24635166790485383,91.4075,0.9140750000000001,0.9139873896949295,0.9140146450625896
13,0.21361456862688064,92.385,0.9238500000000001,0.9237964634228117,0.9238144037121299
14,0.19311260959506035,93.2325,0.932325,0.9322533819128633,0.9322806986271492
15,0.17394555803537368,93.675,0.93675,0.9367054698940448,0.9367217104208221
16,0.1562565666049719,94.395,0.9439500000000001,0.9439476645216935,0.9439422774737748
17,0.14136771039664744,95.13,0.9513,0.9512747838309746,0.9512848999265439
18,0.12625314276218413,95.4475,0.9544750000000001,0.9544493962880463,0.9544607638377232
19,0.11564626716896892,95.9325,0.959325,0.9593469082258125,0.9593339787539801
20,0.11003185832351446,96.1075,0.9610750000000001,0.9610635917980852,0.9610653499285615
