epoch,loss,accuracy,recall,precision,f1
1,1.483485881614685,45.2875,0.452875,0.44716255267831145,0.4491751614589319
2,0.9784417766571045,65.085,0.6508499999999999,0.6486197056878774,0.6495632408065226
3,0.7486426527500153,73.95,0.7395,0.7388915549703766,0.7391306373051829
4,0.6090864542961121,78.905,0.7890500000000001,0.7887273399409643,0.7888435449311626
5,0.5120050520181656,82.48,0.8248,0.824351519211619,0.8245145603688562
6,0.43940664978027344,84.8575,0.848575,0.8482431599445999,0.8483570381508757
7,0.3875858637809753,86.665,0.8666500000000001,0.8665242310533531,0.8665525613056172
8,0.33262185467481614,88.275,0.88275,0.8825447144411495,0.8826162680263485
9,0.2784575596928596,90.31,0.9030999999999999,0.903019835686019,0.9030261795874189
10,0.24755208479762078,91.3,0.913,0.9127835361284955,0.9128786473596179
11,0.21429163628816605,92.535,0.9253500000000001,0.9253441536789303,0.9253223801161775
12,0.19424593797922135,93.1875,0.931875,0.9318138006447979,0.9318364407994195
13,0.15957295792400836,94.3925,0.9439250000000001,0.9438982593468909,0.9439080238199479
14,0.15171315604150296,94.5625,0.9456249999999999,0.9456400900126629,0.9456269721441583
15,0.13549842446148397,95.225,0.95225,0.9522219496410834,0.9522308322425344
16,0.1263972621306777,95.5575,0.9555750000000002,0.9555726154301422,0.9555713567426796
17,0.1045952595897019,96.3675,0.9636750000000001,0.9636758763905379,0.9636725577138906
18,0.10955960608422756,96.145,0.9614500000000001,0.9614478064419384,0.9614478503510787
19,0.10694225833714008,96.305,0.96305,0.9630484491375005,0.9630473155876759
20,0.0890260791040957,96.9175,0.9691750000000001,0.9691789182914488,0.9691738943217814
