epoch,loss,accuracy,recall,precision,f1
1,1.5621097069740295,42.79,0.4279,0.41999831245657093,0.42274039290864424
2,1.0619961618423461,62.555,0.62555,0.6226813281294719,0.6238672027755122
3,0.8338803617477417,70.8,0.708,0.7069017753630951,0.7073512229802603
4,0.7125339235782623,75.365,0.75365,0.752895253499178,0.753200095692887
5,0.626365616941452,78.455,0.78455,0.7838626188550047,0.7841212575630961
6,0.5681399295806885,80.3675,0.8036749999999999,0.8032941691252198,0.8034174539441234
7,0.5161047771215439,82.19,0.8219000000000001,0.8214468117228971,0.8215954548873461
8,0.47183749251365664,83.6175,0.8361750000000001,0.8358967827636858,0.8359962272668456
9,0.431233519077301,85.005,0.8500500000000001,0.8498353477121162,0.8498974593427105
10,0.4002177486419678,86.2875,0.8628750000000001,0.8625964588691163,0.8627020252507902
11,0.3632759008049965,87.4325,0.874325,0.8740832204136526,0.8741629602658254
12,0.336160496532917,88.4125,0.8841249999999998,0.8840854467025098,0.8840814784921008
13,0.30401162643432617,89.42,0.8942,0.8941731070237913,0.8941649789028446
14,0.28421942727565763,90.055,0.9005500000000002,0.9004021449310768,0.9004519299364594
15,0.26603947614431384,90.6825,0.9068250000000001,0.9067361947723521,0.9067609422438201
16,0.24516658811569214,91.515,0.9151499999999999,0.9150689712591837,0.9150923771328772
17,0.22705208943486213,92.035,0.92035,0.9202740956306312,0.9202916758884951
18,0.21487214187383652,92.4475,0.9244749999999999,0.9244034609598069,0.9244196907181355
19,0.1950244513273239,93.095,0.9309499999999999,0.9309168553670257,0.9309299674770349
20,0.182738597202301,93.6575,0.936575,0.9365777106773322,0.9365689678887474
