epoch,loss,accuracy,recall,precision,f1
1,1.5596369767189027,42.1825,0.421825,0.41559250650781604,0.41776620650122387
2,1.1750138272285462,57.815,0.57815,0.5741816242507758,0.5757060642034983
3,1.017243040084839,63.8125,0.6381249999999999,0.6356975707939705,0.6367241720633869
4,0.9185826465606689,67.355,0.67355,0.6719501140649949,0.6726114788874056
5,0.8484117132186889,69.7575,0.697575,0.6958776825180116,0.6966155577552458
6,0.7890498151302338,72.01,0.7201,0.7192000346515403,0.7195735408041705
7,0.7348632969379425,73.9175,0.739175,0.7383159685516255,0.738628682576169
8,0.6857486643791199,75.675,0.75675,0.7558534187202989,0.7562248443081786
9,0.6590155063629151,76.725,0.7672500000000001,0.7666301488413639,0.7668768575627648
10,0.6211905366420746,78.2275,0.782275,0.7817759616695816,0.781969235128263
11,0.5884384872913361,79.3325,0.7933250000000001,0.7928549200612093,0.7930320520487365
12,0.5616126978874206,80.08,0.8008,0.8002317304927976,0.8004469282407591
13,0.5427753495454788,80.96,0.8096,0.8091541013194975,0.80932162848473
14,0.516949313545227,81.88,0.8188000000000001,0.8185661183751451,0.8185932035786074
15,0.49971773154735566,82.41,0.8240999999999999,0.8237513936109412,0.8238728411079144
16,0.47303974611759186,83.39,0.8339000000000001,0.8336092942824674,0.8336994820678381
17,0.45811798009872434,83.9,0.8390000000000001,0.8388547440558544,0.8388608189632217
18,0.4442122753381729,84.5175,0.845175,0.8451324083794318,0.8450978829254916
19,0.42725166800022124,85.0025,0.8500250000000001,0.849845787509536,0.8498853200051608
20,0.4132371121406555,85.445,0.8544499999999999,0.8542056137938372,0.8542991469474351
