epoch,loss,accuracy,recall,precision,f1
1,1.523998015975952,43.525,0.43525,0.4280265557053832,0.4307232535299983
2,1.131909211730957,59.1725,0.5917250000000001,0.5882411270087563,0.5895865934327078
3,0.9711090669631958,65.2125,0.6521250000000001,0.6503727453561136,0.6510543739940355
4,0.8537706828117371,69.5525,0.6955250000000001,0.6945444904366302,0.6949284872032321
5,0.7571994533538818,73.3075,0.733075,0.7319051573222815,0.7323927552163056
6,0.6953479743480683,75.3475,0.7534750000000001,0.7530290234284701,0.7532049031159348
7,0.6476740937232971,77.5225,0.775225,0.7745263222166859,0.7748024763276444
8,0.591137167263031,79.285,0.7928499999999999,0.7923379042067018,0.7925289792899848
9,0.5538471872091293,80.7375,0.8073750000000001,0.8066676691416212,0.8069607362684668
10,0.5158967686653138,81.95,0.8195,0.8189567639951878,0.819184026516818
11,0.487303436589241,83.2075,0.832075,0.8317723714353955,0.8318822915128958
12,0.4628170109272003,83.95,0.8394999999999999,0.8392963863657134,0.8393533759610667
13,0.4336898499250412,84.795,0.8479500000000002,0.8476583215106306,0.8477655709902189
14,0.4063426844358444,85.9325,0.8593250000000001,0.859073487862924,0.8591767406857311
15,0.3843629206061363,86.6825,0.8668250000000001,0.8665262067932383,0.8666252373813836
16,0.36289144308567045,87.155,0.87155,0.8713342377874944,0.8713922137367703
17,0.34861193643808364,87.8625,0.8786249999999999,0.8783447394059625,0.8784540811944778
18,0.3300335446834564,88.4725,0.8847249999999999,0.8846043480547264,0.8846407748718776
19,0.3115015471816063,89.2675,0.892675,0.892659922760305,0.8926426156464542
20,0.29955363686084746,89.4,0.8939999999999999,0.8939992427475545,0.8939783606386298
