epoch,loss,accuracy,recall,precision,f1
1,1.4468511288642882,46.8925,0.46892500000000004,0.4628014871064539,0.464995770430945
2,0.9433961182594299,66.6675,0.6666749999999999,0.6643048547846409,0.6652785322562144
3,0.7232037023544311,74.7375,0.747375,0.7468217530230137,0.747051787388197
4,0.5966250916481018,79.425,0.79425,0.7937224600193155,0.7939260187610929
5,0.509532849407196,82.4975,0.824975,0.824639483098552,0.8247606226524635
6,0.4318548506736755,85.145,0.85145,0.8512047756926604,0.8512526083768472
7,0.38347271270751954,86.6975,0.8669749999999998,0.8668602691485786,0.8668911596861187
8,0.33265849841833117,88.2275,0.8822749999999999,0.8820876533305908,0.8821566664551765
9,0.28557232105731967,90.1475,0.9014749999999999,0.9013771896535421,0.9014098527628166
10,0.24971324924230576,91.1325,0.9113249999999999,0.911233729480282,0.911268258195145
11,0.21597972939610482,92.4,0.924,0.923989906169498,0.9239827340525281
12,0.19688652748465538,93.085,0.9308500000000001,0.9308215334048882,0.9308314000371487
13,0.16571496667563915,94.0875,0.9408749999999999,0.9408354024388862,0.9408483629356568
14,0.15379658823013306,94.5575,0.945575,0.9455623878524342,0.9455636650518111
15,0.13443974139094353,95.2475,0.9524750000000001,0.9524557058697409,0.9524598987841697
16,0.12760396193414927,95.465,0.95465,0.9546388681153062,0.9546405599922496
17,0.11579539202600718,96.0,0.9600000000000002,0.9599898941612658,0.9599928140368114
18,0.10506760307475925,96.3675,0.963675,0.9636778418609738,0.9636717708853932
19,0.09976156181395054,96.465,0.96465,0.9646298404997623,0.9646357371894085
20,0.09714208465740085,96.5325,0.965325,0.9653356079001447,0.9653291493273628
