epoch,loss,accuracy,recall,precision,f1
1,1.437783185482025,47.605,0.47605000000000003,0.4701779121471555,0.47253416062679643
2,0.9805314790248871,65.3875,0.653875,0.6514928679277807,0.6524900764316893
3,0.7643486208438873,73.205,0.7320500000000001,0.7312198815205728,0.7315618160505653
4,0.6461074715137481,77.645,0.7764499999999999,0.7759275689363203,0.7761072810363593
5,0.5516744987010955,80.825,0.8082499999999999,0.8077459603974837,0.8079271866487231
6,0.4793424779653549,83.125,0.83125,0.8308868613435975,0.8310266273910181
7,0.4266117368936539,85.15,0.8514999999999999,0.8512427855435636,0.8513462332274034
8,0.3671523493170738,87.165,0.87165,0.871471090465443,0.8715421426053898
9,0.3238415730714798,88.6625,0.8866249999999999,0.8863967758661648,0.8864786256099748
10,0.28300406333208084,90.1875,0.9018749999999999,0.9016559560535751,0.9017292182817606
11,0.2486423586845398,91.33,0.9132999999999999,0.9132277781867119,0.9132472082454507
12,0.21606438039541245,92.385,0.9238500000000001,0.9237569835761743,0.9237832743592765
13,0.18597021168470382,93.3325,0.933325,0.9333335050280857,0.9333207398824099
14,0.168184444886446,93.9975,0.9399750000000001,0.9399454588454471,0.9399553302847667
15,0.16126937612891198,94.32,0.9432,0.9431753026041273,0.9431826475320324
16,0.12954691070914268,95.635,0.9563499999999999,0.956322805971937,0.9563326936918048
17,0.1227094914957881,95.61,0.9561,0.9560851110590927,0.9560898894917031
18,0.12237003681287169,95.6525,0.9565249999999998,0.9565059245483456,0.9565128297827548
19,0.10998879540860652,95.9975,0.959975,0.959946370835317,0.9599585229175739
20,0.09307832048013806,96.69,0.9669000000000001,0.9669034379265924,0.9669012565771004
