epoch,loss,accuracy,recall,precision,f1
1,1.4538814874649049,46.5425,0.46542500000000003,0.45877579152991804,0.4612785056647601
2,1.0076208065032959,64.3375,0.643375,0.6402943584051758,0.6415630437196755
3,0.775296603679657,73.0175,0.730175,0.7291645866726956,0.7295717201961235
4,0.6362265902996064,77.8625,0.778625,0.7781017211668886,0.7782503900600724
5,0.5514778874635696,80.8825,0.808825,0.8082604414887606,0.8084632128996535
6,0.4832731458425522,83.3475,0.8334750000000002,0.8331052759506712,0.8332423663926661
7,0.4218067136764526,85.3025,0.853025,0.8527415081594099,0.8528384858685953
8,0.37591619324684145,86.9575,0.869575,0.8692376103750954,0.8693713519657136
9,0.325524414229393,88.665,0.88665,0.8864795940282072,0.8865391876827685
10,0.2912769889473915,89.815,0.89815,0.8980281784441667,0.8980671113530576
11,0.2549511406779289,90.97,0.9097,0.9095327725753212,0.9095892951046245
12,0.22162479585409164,92.1825,0.9218249999999999,0.9216844572027947,0.9217379472056851
13,0.20124299382567407,92.71,0.9271,0.9269973138734242,0.9270344065953726
14,0.17687436664998532,93.715,0.9371499999999999,0.9371152570353948,0.9371212362464352
15,0.1580224811077118,94.47,0.9446999999999999,0.9446931636094764,0.9446828441805583
16,0.1381351140588522,95.15,0.9515,0.9514778059328585,0.9514843651789221
17,0.13256541523858906,95.3175,0.9531750000000001,0.9531741183289422,0.9531718158350303
18,0.12266898944824935,95.705,0.95705,0.9570419714661227,0.9570420068257881
19,0.11044853661954403,96.0975,0.960975,0.9609676420332898,0.9609698019090851
20,0.10939910723045468,96.105,0.96105,0.9610357194511853,0.9610411207634666
