epoch,loss,accuracy,recall,precision,f1
1,1.529907816696167,43.255,0.43255,0.42603047596277577,0.42827287325800806
2,1.1437374099731445,58.9575,0.589575,0.5854281322472781,0.5871127985063667
3,0.9554266900062561,65.9425,0.6594249999999999,0.6573043198117526,0.6581419813266356
4,0.8385018023967743,70.18,0.7018,0.7004404204768886,0.701029322089293
5,0.7525257153987884,73.3025,0.7330249999999999,0.7320041719828279,0.7324144543270699
6,0.6860751235961914,75.6925,0.7569250000000001,0.7561565372522581,0.7564634085882342
7,0.6306586015224457,77.97,0.7797000000000001,0.779131541705425,0.7793683460666555
8,0.5769290117263794,79.75,0.7975,0.7969597453508986,0.7971639087422192
9,0.5467000742435455,80.7975,0.8079750000000001,0.8075083710173365,0.8076888398908455
10,0.50382453789711,82.395,0.82395,0.8234577898504783,0.8236384371184077
11,0.48178811292648316,83.23,0.8323,0.8320252766954062,0.8321278538320083
12,0.4487082372665405,84.255,0.8425499999999999,0.84224729566794,0.8423593684914706
13,0.42022053523063657,85.1525,0.851525,0.8511320041591862,0.8512929668031386
14,0.39864168009757994,86.1525,0.861525,0.8614174629376224,0.8614348195105549
15,0.38004757196903227,86.7775,0.867775,0.8676650672489249,0.8676847810632129
16,0.3562689234018326,87.715,0.87715,0.8770003342454615,0.8770508261950299
17,0.33880618191957473,88.215,0.88215,0.88202440628552,0.8820571703915835
18,0.33285620275735855,88.48,0.8847999999999999,0.8846731890707085,0.8846988711551409
19,0.3046194774150848,89.27,0.8926999999999999,0.892628377744245,0.8926333037084637
20,0.2946121532559395,89.7075,0.8970749999999998,0.8969542027659532,0.8969926308347083
